comparison,model_A,model_B,accuracy_A,accuracy_B,accuracy_difference,mcnemar_raw_p,mcnemar_holm_p,significant,bootstrap_ci_lower,bootstrap_ci_upper,n_A_correct_B_wrong,n_B_correct_A_wrong,n_discordant
VGG16_vs_ResNet50,VGG16,ResNet50,0.934375,0.92625,0.008124999999999938,0.12373144253809215,0.12373144253809215,False,-0.0012500000000000844,0.018124999999999947,37,24,61
VGG16_vs_EfficientNetB0,VGG16,EfficientNetB0,0.934375,0.90125,0.03312499999999996,8.534327680773064e-08,2.560298304231919e-07,True,0.02124999999999999,0.045624999999999916,76,23,99
ResNet50_vs_EfficientNetB0,ResNet50,EfficientNetB0,0.92625,0.90125,0.025000000000000022,7.85013964559367e-05,0.0001570027929118734,True,0.013125000000000053,0.03749999999999998,70,30,100
