model,accuracy,ece,brier_score,mean_confidence,high_conf_errors_80,high_conf_errors_90,high_conf_errors_95,high_conf_errors_80_pct_of_errors,high_conf_errors_90_pct_of_errors,high_conf_errors_95_pct_of_errors
VGG16,0.934375,0.039951782226562454,0.10671245540024148,0.974,57,49,42,54.285714285714285,46.666666666666664,40.0
ResNet50,0.92625,0.048879089355468766,0.120251096762148,0.9736,74,49,42,62.71186440677966,41.52542372881356,35.59322033898305
EfficientNetB0,0.90125,0.022709350585937507,0.15281810095448778,0.924,67,38,17,42.405063291139236,24.050632911392405,10.759493670886076
