bin_lower,bin_upper,count,mean_confidence,observed_accuracy,gap,model
0.0,0.1,0,,,,VGG16
0.1,0.2,0,,,,VGG16
0.2,0.30000000000000004,0,,,,VGG16
0.30000000000000004,0.4,0,,,,VGG16
0.4,0.5,6,0.456787109375,0.3333333333333333,0.12345377604166669,VGG16
0.5,0.6000000000000001,22,0.54541015625,0.3181818181818182,0.22722833806818182,VGG16
0.6000000000000001,0.7000000000000001,26,0.66015625,0.38461538461538464,0.27554086538461536,VGG16
0.7000000000000001,0.8,29,0.75146484375,0.5517241379310345,0.19974070581896552,VGG16
0.8,0.9,34,0.86669921875,0.7647058823529411,0.10199333639705888,VGG16
0.9,1.0,1483,0.9951171875,0.9669588671611599,0.028158320338840137,VGG16
0.0,0.1,0,,,,ResNet50
0.1,0.2,0,,,,ResNet50
0.2,0.30000000000000004,0,,,,ResNet50
0.30000000000000004,0.4,0,,,,ResNet50
0.4,0.5,4,0.45703125,0.75,-0.29296875,ResNet50
0.5,0.6000000000000001,21,0.56396484375,0.42857142857142855,0.13539341517857145,ResNet50
0.6000000000000001,0.7000000000000001,22,0.6494140625,0.18181818181818182,0.4675958806818182,ResNet50
0.7000000000000001,0.8,34,0.75244140625,0.6176470588235294,0.13479434742647056,ResNet50
0.8,0.9,52,0.85546875,0.5192307692307693,0.3362379807692307,ResNet50
0.9,1.0,1467,0.9951171875,0.9665985003408316,0.028518687159168388,ResNet50
0.0,0.1,0,,,,EfficientNetB0
0.1,0.2,0,,,,EfficientNetB0
0.2,0.30000000000000004,0,,,,EfficientNetB0
0.30000000000000004,0.4,3,0.37939453125,0.0,0.37939453125,EfficientNetB0
0.4,0.5,20,0.472900390625,0.45,0.02290039062499999,EfficientNetB0
0.5,0.6000000000000001,60,0.546875,0.5333333333333333,0.013541666666666674,EfficientNetB0
0.6000000000000001,0.7000000000000001,57,0.646484375,0.543859649122807,0.10262472587719296,EfficientNetB0
0.7000000000000001,0.8,95,0.75439453125,0.7578947368421053,-0.0035002055921052877,EfficientNetB0
0.8,0.9,137,0.853515625,0.7737226277372263,0.07979299726277367,EfficientNetB0
0.9,1.0,1228,0.984375,0.9706840390879479,0.01369096091205213,EfficientNetB0
