model,test_accuracy,test_accuracy_ci_lower,test_accuracy_ci_upper,phase1_val_accuracy,phase2_val_accuracy,phase1_to_phase2_improvement_pp,phase1_to_phase2_relative_improvement_pct,parameters,trainable_parameters,model_size_mb,inference_ms_per_image,ece,brier_score,mean_confidence,median_confidence,mean_correct_confidence,mean_incorrect_confidence,high_confidence_errors_80,high_confidence_errors_90,high_confidence_errors_95,total_errors,shared_errors,model_specific_errors,glioma_errors,meningioma_errors,glioma_meningioma_confusions
VGG16,0.934375,0.921875,0.94625,0.8955,0.975,7.950000000000001,8.877721943048577,14716740.0,9441284.0,200.30706310272217,10.052,0.0399517822265624,0.1067124554002414,0.974,1.0,0.986,0.811,57,49,42,105,72,14,81,20,53
ResNet50,0.92625,0.913125,0.93875,0.9232,0.9714,4.820000000000002,5.220970537261701,23595908.0,16958724.0,349.493055343628,7.501,0.0488790893554687,0.120251096762148,0.9736,1.0,0.985,0.8306,74,49,42,118,72,21,74,41,64
EfficientNetB0,0.90125,0.886875,0.915625,0.8938,0.9348,4.0999999999999925,4.5871559633027434,4054695.0,3454264.0,69.04932689666748,25.348,0.0227093505859375,0.1528181009544877,0.924,0.9892578125,0.9443,0.7344,67,38,17,158,72,60,95,49,84
