model,parameters,trainable_parameters,model_size_mb,accuracy,inference_ms_per_image,ece,brier_score
VGG16,14716740,9441284,200.30706310272217,0.934375,10.052,0.0399517822265624,0.1067124554002414
ResNet50,23595908,16958724,349.49305534362793,0.92625,7.501,0.0488790893554687,0.120251096762148
EfficientNetB0,4054695,3454264,69.04932689666748,0.90125,25.348,0.0227093505859375,0.1528181009544877
