model,phase1_accuracy,phase2_accuracy,absolute_improvement_pp,relative_improvement_pct
VGG16,0.8955,0.975,7.950000000000001,8.877721943048577
ResNet50,0.9232,0.9714,4.820000000000002,5.220970537261701
EfficientNetB0,0.8938,0.9348,4.0999999999999925,4.5871559633027434
