scope,metric,group_a,group_b,label,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,mean_diff_lo,mean_diff_hi,median_diff,median_diff_lo,median_diff_hi,mw_U,mw_p,cliffs_delta,cliffs_delta_lo,cliffs_delta_hi,magnitude,family,tier,model,note
class_meningioma,EffNet_conf,shared,nonshared,class_meningioma: EfficientNetB0 own errors shared vs nonshared [conf] meningioma,10,39,0.826025390625,0.7223745492788461,0.875,0.701171875,0.10365084134615388,-0.004093925280448668,0.1999462264623397,0.173828125,-0.006921386718749971,0.300537109375,263.0,0.09403008976126671,0.3487179487179487,0.010256410256410256,0.6615384615384615,medium,S_robustness_by_class,secondary,EfficientNetB0,
class_meningioma,EffNet_ptrue,shared,nonshared,class_meningioma: EfficientNetB0 own errors shared vs nonshared [ptrue] meningioma,10,39,0.166400146484375,0.2487924037835537,0.1241455078125,0.26123046875,-0.08239225729917868,-0.17435909955929485,0.01986239408835371,-0.1370849609375,-0.266845703125,0.03857421875,143.0,0.20139390196786133,-0.26666666666666666,-0.6051282051282051,0.09756410256410186,small,S_robustness_by_class,secondary,EfficientNetB0,
class_notumor,mean_conf,shared_failure,one_model_failure,class_notumor: shared_failure vs one_model_failure [mean_conf] notumor,0,6,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_notumor,min_conf,shared_failure,one_model_failure,class_notumor: shared_failure vs one_model_failure [min_conf] notumor,0,6,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_notumor,conf_range,shared_failure,one_model_failure,class_notumor: shared_failure vs one_model_failure [conf_range] notumor,0,6,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_notumor,mean_ptrue,shared_failure,one_model_failure,class_notumor: shared_failure vs one_model_failure [mean_ptrue] notumor,0,6,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_notumor,min_ptrue,shared_failure,one_model_failure,class_notumor: shared_failure vs one_model_failure [min_ptrue] notumor,0,6,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_notumor,mean_conf_wrong_models,shared_failure,one_model_failure,class_notumor: shared_failure vs one_model_failure [mean_conf_wrong_models] notumor,0,6,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_notumor,mean_ptrue_wrong_models,shared_failure,one_model_failure,class_notumor: shared_failure vs one_model_failure [mean_ptrue_wrong_models] notumor,0,6,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,,skipped (n<5)
class_notumor,VGG_conf,shared,nonshared,class_notumor: VGG16 own errors shared vs nonshared [conf] notumor,0,1,,,,,,,,,,,,,,,,,S_robustness_by_class,secondary,VGG16,skipped (n<5)
