label,comparison,model,predictor,n_shared,n_model_errors,n_boot_used,auroc_error,auroc_error_lo,auroc_error_hi,auroc_shared_vs_all,auroc_shared_vs_all_lo,auroc_shared_vs_all_hi,delta_auroc,delta_lo,delta_hi,boot_p_two_sided,ci_within_margin,margin,boot_corr_of_paired_aucs,se_delta_paired,se_delta_if_independent,interpretation,auroc_shared_vs_model_correct,auroc_shared_vs_model_correct_lo,auroc_shared_vs_model_correct_hi,delta_from_negatives,delta_from_negatives_lo,delta_from_negatives_hi,delta_from_positives,delta_from_positives_lo,delta_from_positives_hi,family,tier,p_holm,holm_family_size
AUROC compare: shared-vs-all vs VGG16 error detection via VGG_conf,own_model_confidence,VGG16,VGG_conf,72,105,5000,0.8703424112119764,0.8296223571981329,0.9073952813233583,0.8105502835951134,0.7558776085781977,0.8610047387720391,-0.05979212761686303,-0.08675309416679139,-0.038575444449029266,0.0003999200159968006,False,0.05,0.9052539262219698,0.01248909913371976,0.03387602559961181,shared-failure detection WORSE than ordinary error detection (CI < 0),0.82299795615013,0.7682595090707165,0.873115405184354,-0.012447672555016664,-0.017336609495379598,-0.008177736001012759,-0.04734445506184637,-0.07188103959433366,-0.02833765757837177,S_shared_vs_error_auroc_own_model,secondary,0.0011997600479904018,3.0
AUROC compare: shared-vs-all vs ResNet50 error detection via ResNet_conf,own_model_confidence,ResNet50,ResNet_conf,72,118,5000,0.905107047279215,0.87508713668661,0.9311561235038982,0.847944844386271,0.8022456001702222,0.8873474708989402,-0.057162202892943936,-0.08107782826985464,-0.037274110084234854,0.0003999200159968006,False,0.05,0.8871547655696719,0.011138622222653608,0.026203255711869034,shared-failure detection WORSE than ordinary error detection (CI < 0),0.8661156095366622,0.8197938829476786,0.905623158854436,-0.018170765150391177,-0.02413753864384851,-0.012819875720085852,-0.03899143774255276,-0.060640134523722945,-0.022342593024313163,S_shared_vs_error_auroc_own_model,secondary,0.0011997600479904018,3.0
AUROC compare: shared-vs-all vs EfficientNetB0 error detection via EffNet_conf,own_model_confidence,EfficientNetB0,EffNet_conf,72,158,5000,0.8924687055601398,0.8725173484370246,0.9113214266954439,0.850185427574171,0.8216029276926171,0.8776910826684036,-0.04228327798596876,-0.06602414283729553,-0.019755097790762163,0.0007998400319936012,False,0.05,0.5952149843406944,0.011721356555349572,0.017666588938668265,shared-failure detection WORSE than ordinary error detection (CI < 0),0.8776872399445215,0.8510499564648069,0.9029154334258733,-0.02750181237035043,-0.03490011951042347,-0.020744630356710262,-0.014781465615618328,-0.033600698889114,0.002936218093201025,S_shared_vs_error_auroc_own_model,secondary,0.0011997600479904018,3.0
AUROC compare: shared-vs-all vs VGG16 error detection via mean_conf,aggregate_confidence,VGG16,mean_conf,72,105,5000,0.9161554387641344,0.8965941679793232,0.9349882050702555,0.8835033086096568,0.8567825706486712,0.9088254850215086,-0.032652130154477654,-0.04747030221175501,-0.01940505714792737,0.0003999200159968006,True,0.05,0.8501507362782857,0.00719368047475719,0.01671272375301559,shared-failure detection WORSE than ordinary error detection (CI < 0),,,,,,,,,,S_shared_vs_error_auroc_aggregate_predictor,secondary,0.0023995200959808036,6.0
AUROC compare: shared-vs-all vs VGG16 error detection via min_conf,aggregate_confidence,VGG16,min_conf,72,105,5000,0.9009014174231565,0.8806961225370958,0.9199173187836746,0.8716141288539849,0.8453692394834572,0.8964874964142652,-0.02928728856917162,-0.04390939148971991,-0.01625358191624318,0.0003999200159968006,True,0.05,0.8492163862313586,0.007023453952550014,0.016604269538733986,shared-failure detection WORSE than ordinary error detection (CI < 0),,,,,,,,,,S_shared_vs_error_auroc_aggregate_predictor,secondary,0.0023995200959808036,6.0
AUROC compare: shared-vs-all vs ResNet50 error detection via mean_conf,aggregate_confidence,ResNet50,mean_conf,72,118,5000,0.9168668084814383,0.8978792887982066,0.9346915574987141,0.8835033086096568,0.8567825706486712,0.9088254850215086,-0.033363499871781555,-0.04967147145802196,-0.018646012916162268,0.0003999200159968006,True,0.05,0.8155817591732683,0.00792287119598115,0.016310465393710553,shared-failure detection WORSE than ordinary error detection (CI < 0),,,,,,,,,,S_shared_vs_error_auroc_aggregate_predictor,secondary,0.0023995200959808036,6.0
AUROC compare: shared-vs-all vs ResNet50 error detection via min_conf,aggregate_confidence,ResNet50,min_conf,72,118,5000,0.898345113108717,0.8788403361202665,0.9166516439620159,0.8716141288539849,0.8453692394834572,0.8964874964142652,-0.026730984254732082,-0.04206089974207379,-0.012585708521106236,0.0011997600479904018,True,0.05,0.823477666021681,0.007565661212633185,0.01628007741988409,shared-failure detection WORSE than ordinary error detection (CI < 0),,,,,,,,,,S_shared_vs_error_auroc_aggregate_predictor,secondary,0.0023995200959808036,6.0
AUROC compare: shared-vs-all vs EfficientNetB0 error detection via mean_conf,aggregate_confidence,EfficientNetB0,mean_conf,72,158,5000,0.9241691392053933,0.9080705394580761,0.9388749916662521,0.8835033086096568,0.8567825706486712,0.9088254850215086,-0.040665830595736585,-0.060704422048747805,-0.021883310626632343,0.0007998400319936012,False,0.05,0.688890851004173,0.009817808850155305,0.015504388738962538,shared-failure detection WORSE than ordinary error detection (CI < 0),,,,,,,,,,S_shared_vs_error_auroc_aggregate_predictor,secondary,0.0023995200959808036,6.0
AUROC compare: shared-vs-all vs EfficientNetB0 error detection via min_conf,aggregate_confidence,EfficientNetB0,min_conf,72,158,5000,0.9151077968363208,0.8977516509223951,0.9306309899829742,0.8716141288539849,0.8453692394834572,0.8964874964142652,-0.04349366798233589,-0.06391766971062604,-0.023753931021542177,0.0007998400319936012,False,0.05,0.6310195904981464,0.01020611959797882,0.015640880303132765,shared-failure detection WORSE than ordinary error detection (CI < 0),,,,,,,,,,S_shared_vs_error_auroc_aggregate_predictor,secondary,0.0023995200959808036,6.0
