label,model_a,model_b,both_wrong,a_only_wrong,b_only_wrong,both_correct,expected_both_wrong_if_independent,obs_over_expected,cohen_kappa_error,yule_q,phi,phi_max_given_marginals,phi_over_phimax,odds_ratio,jaccard_error_sets,fisher_p_one_sided_positive,family,tier
error association VGG16 vs ResNet50,VGG16,ResNet50,81,24,37,1458,7.7437499999999995,10.460048426150122,0.7060418047105597,0.9850738742373052,0.7074313708975066,0.9391979833236149,0.7532292269134381,132.99324324324326,0.5704225352112676,1.3033702253162087e-84,P1_pairwise_error_association,primary
error association VGG16 vs EfficientNetB0,VGG16,EfficientNetB0,82,23,76,1419,10.36875,7.908378541289934,0.5913523553996182,0.9703994716610502,0.606032748504589,0.8006231432778959,0.7569513242190095,66.56636155606407,0.4530386740331492,4.035137613108939e-71,P1_pairwise_error_association,primary
error association ResNet50 vs EfficientNetB0,ResNet50,EfficientNetB0,88,30,70,1412,11.6525,7.552027461918043,0.6042660123864738,0.9667605812149799,0.6119818246575862,0.8524540698486881,0.7179059216248612,59.16952380952381,0.46808510638297873,4.443926671434491e-74,P1_pairwise_error_association,primary
